Swarogi map file
Size;40;20
Player;8;10
Decoration;9;22;16;13;-13
Decoration;9;24;16;23;35
Decoration;9;26;16;-29;30
Decoration;9;26;16;-12;19
Decoration;9;24;16;1;16
Decoration;7;35;16;-22;23
Obstacle;1;39;16
Obstacle;4;37;16
Decoration;9;29;16;44;-4
Decoration;9;29;16;24;25
Decoration;9;23;16;13;36
Decoration;9;23;16;10;-25
Decoration;9;25;16;-33;-19
Decoration;9;27;16;-24;24
Decoration;9;27;16;-7;26
Decoration;7;36;17;-1;-14
Decoration;7;14;17;15;34
Obstacle;4;0;17
Decoration;8;20;17;-36;13
Decoration;8;20;17;1;-8
Obstacle;3;38;17
Decoration;9;30;17;-33;17
Decoration;9;30;17;-21;-9
Decoration;9;24;17;-25;13
Decoration;9;24;17;-37;-17
Decoration;9;26;17;-4;-18
Obstacle;4;39;17
Decoration;8;19;17;-39;13
Decoration;8;19;17;-3;-8
Decoration;9;29;17;3;30
Decoration;9;23;17;47;0
Obstacle;1;2;18
Decoration;8;18;18;-2;-6
Obstacle;2;0;18
Obstacle;2;22;18
Decoration;9;30;18;-46;-5
Decoration;9;20;18;28;15
Decoration;9;20;18;-31;28
Obstacle;1;9;18
Obstacle;4;13;18
Obstacle;2;31;18
Obstacle;3;39;18
Obstacle;3;37;18
Obstacle;3;35;18
Decoration;9;23;18;12;-31
Decoration;9;21;18;-16;-32
Decoration;9;19;18;20;16
Decoration;9;19;18;-14;19
Obstacle;1;12;19
Obstacle;1;34;19
Obstacle;4;28;19
Obstacle;4;36;19
Obstacle;4;32;19
Obstacle;2;38;19
Obstacle;2;4;19
Obstacle;3;30;19
Decoration;9;20;19;0;-37
Decoration;9;18;19;34;-4
Decoration;9;20;19;-29;25
Decoration;9;22;19;-27;22
Obstacle;1;27;19
Obstacle;1;37;19
Obstacle;1;31;19
Obstacle;4;1;19
Obstacle;4;7;19
Obstacle;4;39;19
Obstacle;4;33;19
Obstacle;4;5;19
Obstacle;4;11;19
Obstacle;2;25;19
Obstacle;2;15;19
Obstacle;5;35;19
Obstacle;3;29;19
Obstacle;3;3;19
Decoration;9;19;19;-2;-30
Decoration;9;17;19;-26;-8
